PostingID,drug_cui
20602,C0541315
20603,C1506770
20604,C0246421
20605,C0246421
20606,C2931926
20607,C1721377
20608,C1721377
20609,C1721377
20610,C1721377
20611,C0939537
2062,C0085208
20620,C4055478
20622,C3179547
2063,C0085208
2064,C0085208
2065,C0085208
2066,C0085208
2067,C0085208
2070,C2347566
2071,C2347566
2072,C2347566
20722,C2607479
20727,C1120386
2073,C2347566
20730,C3492889
20731,C0085149
20736,C0216784
20736,C4033447
20737,C4519188
2074,C2347566
20740,C0017861
20741,C0216784
20741,C4033447
20742,C0257343
20742,C0754659
20743,C1948374
20747,C0064636
20748,C0064636
20749,C0064636
20752,C0066700
20752,C1722260
20756,C0085149
20757,C0771774
20760,C0966225
20761,C0966225
20765,C1948374
20765,C2935023
20766,C1723401
20767,C1948374
20767,C2935023
20767,C3709474
20773,C2698764
20774,C0213404
20775,C0213404
20776,C2608038
20777,C2608038
20778,C2608038
20779,C2608038
20780,C2608038
20781,C2608038
20782,C0527316
20783,C0527316
20784,C0527316
20785,C2698764
20788,C2608038
20790,C1948374
20790,C2935023
20792,C0070122
20793,C0070122
20794,C0070122
20795,C0070122
20796,C0070122
20797,C0070122
20798,C0070122
20799,C0070122
20800,C0070122
20801,C0070122
20804,C0070122
20805,C4519188
20811,C0939537
20812,C0939537
20813,C0939537
20814,C0939537
20815,C0939537
20816,C0939537
20817,C0939537
20818,C0541315
20819,C2697961
20819,C3467876
20820,C2697961
20820,C3467876
20821,C0028833
20829,C0541315
20830,C4550124
20831,C4550124
20832,C4550124
20833,C4550124
20834,C4550124
20835,C4550124
20836,C4550124
20837,C4524703
2084,C0244821
20843,C0073992
20843,C0117996
20844,C1948374
20844,C2935023
20844,C3709474
20845,C0969324
2085,C0289313
20851,C1948374
20851,C2935023
20851,C3709474
20854,C2983812
20855,C0541315
20856,C0541315
20857,C0541315
20858,C0541315
20862,C1723401
20868,C0969324
20870,C1948374
20870,C2935023
20870,C3709474
20877,C3179547
20878,C3467876
20882,C3179547
20883,C1570906
20884,C1570906
20885,C1570906
20886,C1570906
20887,C1570906
20888,C1570906
20889,C1570906
20891,C1570906
20892,C1570906
20893,C1570906
20894,C1570906
20895,C1570906
20896,C1570906
20909,C1723401
20925,C2001271
20926,C2001271
20942,C3496793
20944,C0903411
20945,C1099776
20988,C0216231
20991,C0018242
20993,C0209738
20993,C3253985
21004,C3179547
21005,C0209738
21005,C3253985
21006,C3253985
21007,C0209738
21007,C3253985
21008,C0209738
21008,C0663655
21008,C3253985
21009,C1723401
21018,C3179547
21019,C3179547
21020,C3179547
21021,C3179547
21022,C3179547
21023,C3179547
21024,C3179547
21025,C3179547
21026,C3179547
21027,C3179547
21028,C1831796
21033,C4549503
21034,C4549503
21035,C4549503
21036,C0289884
21037,C0289884
21038,C0289884
21039,C0289884
21040,C0289884
21041,C1869620
21042,C3179547
21043,C3179547
21044,C4307388
21045,C2718773
21053,C3467876
21056,C4310385
21057,C2920417
21057,C4082411
21058,C1722260
21059,C0671970
